Detector,Dataset,Mode,Total,Flips,ASR (%),Avg S,Avg Evasion,Avg BPE Disrupt,Avg WM z-score,Avg Cosine,Avg PPL,Avg Rank
BERT,AGNEWS,humanizer_bert,50,49,98.0,0.7906,0.6235,0.9603,0.5035,0.9729,66.33,287.85
BERT,HC3,humanizer_bert,50,49,98.0,0.772,0.5414,0.99,0.8019,0.9835,34.03,167.47
BERT,M4,humanizer_bert,50,41,82.0,0.7166,0.5775,0.792,0.634,0.9887,45.85,244.19
BERT,QNLI,humanizer_bert,50,43,86.0,0.8649,0.8344,0.9317,0.0441,0.9916,133.74,551.39
BERT,RTE,humanizer_bert,50,28,56.0,0.8956,0.9184,0.9472,0.1822,0.9776,262.29,975.74
BERT,SST2,humanizer_bert,50,49,98.0,0.8273,0.7433,0.9585,0.3999,0.9281,126.8,443.9
ROBERTA,AGNEWS,humanizer_roberta,50,49,98.0,0.7948,0.6154,0.9848,0.1363,0.9661,65.75,329.0
ROBERTA,HC3,humanizer_roberta,50,49,98.0,0.7697,0.526,0.9947,0.5082,0.9845,42.04,195.75
ROBERTA,M4,humanizer_roberta,50,41,82.0,0.712,0.5887,0.7845,1.1589,0.9882,43.71,240.82
ROBERTA,QNLI,humanizer_roberta,50,50,100.0,0.8404,0.7777,0.9453,0.4824,0.9729,101.37,492.26
ROBERTA,RTE,humanizer_roberta,50,33,66.0,0.8532,0.8473,0.8772,-0.5322,0.9809,524.37,844.91
ROBERTA,SST2,humanizer_roberta,50,47,94.0,0.8186,0.7205,0.9383,-9.6273,0.9491,303.13,500.37
