Detector,Dataset,Mode,Total,Flips,ASR (%),Avg S,Avg Evasion,Avg BPE Disrupt,Avg WM z-score,Avg Cosine,Avg PPL,Avg Rank
BERT-base,AGNEWS,homoglyph,500,319,63.8,0.8099,0.9947,0.5837,-0.358,1.0,295.85,968.21
BERT-base,AGNEWS,diacritic,500,0,0.0,0.8058,0.9998,0.5833,-0.0709,1.0,550.55,954.45
BERT-base,AGNEWS,mixed,500,226,45.2,0.8077,0.9999,0.5825,-0.1922,1.0,550.4,1030.18
BERT-base,AGNEWS,humanizer_bert,15,15,100.0,0.7863,0.616,1.0,1.1811,0.9313,56.38,263.12
BERT-base,AGNEWS,humanizer_roberta,15,9,60.0,0.8277,0.6576,1.0,-0.0065,0.9632,68.66,296.93
BERT-base,HC3,homoglyph,500,340,68.0,0.7155,0.7316,0.5738,-0.4838,1.0,16071.62,364.52
BERT-base,HC3,diacritic,500,8,1.6,0.7789,0.9342,0.5733,-0.0873,1.0,16144.54,409.72
BERT-base,HC3,mixed,500,229,45.8,0.7819,0.9336,0.5737,-0.2476,1.0,16143.82,419.66
BERT-base,HC3,humanizer_bert,15,10,66.67,0.7739,0.5293,0.9955,-0.5114,0.9789,33.62,128.58
BERT-base,HC3,humanizer_roberta,15,10,66.67,0.7826,0.5257,0.9946,-1.392,0.987,51.3,207.96
BERT-base,M4,homoglyph,500,346,69.2,0.7498,0.8265,0.569,-0.6146,0.9999,120.69,468.09
BERT-base,M4,diacritic,500,0,0.0,0.7901,0.9649,0.5655,-0.2171,0.9999,366.38,511.57
BERT-base,M4,mixed,500,204,40.8,0.794,0.9652,0.5669,-0.3844,0.9999,284.56,542.1
BERT-base,M4,humanizer_bert,15,10,66.67,0.7847,0.54,1.0,-0.3123,0.9605,50.62,215.96
BERT-base,M4,humanizer_roberta,15,4,26.67,0.7927,0.5345,0.9996,-3.1982,0.9796,42.76,196.32
BERT-base,QNLI,homoglyph,500,332,66.4,0.7959,0.9886,0.5656,-0.0913,0.9998,305.5,955.49
BERT-base,QNLI,diacritic,500,0,0.0,0.7958,0.9984,0.5631,0.0208,0.9998,592.89,1001.09
BERT-base,QNLI,mixed,500,147,29.4,0.7985,0.9987,0.5636,-0.083,0.9998,563.54,1021.95
BERT-base,QNLI,humanizer_bert,15,14,93.33,0.794,0.7023,0.9271,0.6725,0.9138,137.69,397.93
BERT-base,QNLI,humanizer_roberta,15,5,33.33,0.859,0.7209,0.985,-3.2782,0.9788,98.76,392.87
BERT-base,RTE,homoglyph,277,120,43.32,0.7933,0.9978,0.5492,-0.0877,1.0,800.69,1556.85
BERT-base,RTE,diacritic,277,0,0.0,0.7911,0.9998,0.5477,0.012,1.0,1214.23,1367.6
BERT-base,RTE,mixed,277,76,27.44,0.7939,0.9997,0.5471,-0.1133,1.0,1202.66,1523.74
BERT-base,RTE,humanizer_bert,15,14,93.33,0.872,0.8437,0.9924,-0.771,0.9167,242.13,778.71
BERT-base,RTE,humanizer_roberta,15,4,26.67,0.8979,0.8693,0.984,-2.715,0.9347,234.43,824.16
BERT-base,SST2,homoglyph,500,241,48.2,0.7742,0.9947,0.498,-0.087,1.0,487.2,1028.22
BERT-base,SST2,diacritic,500,0,0.0,0.7732,0.9998,0.499,0.0664,1.0,802.56,979.23
BERT-base,SST2,mixed,500,120,24.0,0.7758,0.9997,0.4998,-0.0442,1.0,801.7,1099.35
BERT-base,SST2,humanizer_bert,15,15,100.0,0.8609,0.8184,0.9407,-0.0204,0.959,177.17,517.15
BERT-base,SST2,humanizer_roberta,15,4,26.67,0.8755,0.7919,1.0,-0.4747,0.9239,125.44,458.03
RoBERTa-base,AGNEWS,homoglyph,500,90,18.0,0.8099,0.9947,0.5837,-0.358,1.0,295.85,968.21
RoBERTa-base,AGNEWS,diacritic,500,76,15.2,0.8058,0.9998,0.5833,-0.0709,1.0,550.55,954.45
RoBERTa-base,AGNEWS,mixed,500,90,18.0,0.8077,0.9999,0.5825,-0.1922,1.0,550.4,1030.18
RoBERTa-base,AGNEWS,humanizer_bert,15,3,20.0,0.7863,0.616,1.0,1.1811,0.9313,56.38,263.12
RoBERTa-base,AGNEWS,humanizer_roberta,15,9,60.0,0.8277,0.6576,1.0,-0.0065,0.9632,68.66,296.93
RoBERTa-base,HC3,homoglyph,500,149,29.8,0.7155,0.7316,0.5738,-0.4838,1.0,16071.62,364.52
RoBERTa-base,HC3,diacritic,500,123,24.6,0.7789,0.9342,0.5733,-0.0873,1.0,16144.54,409.72
RoBERTa-base,HC3,mixed,500,134,26.8,0.7819,0.9336,0.5737,-0.2476,1.0,16143.82,419.66
RoBERTa-base,HC3,humanizer_bert,15,5,33.33,0.7739,0.5293,0.9955,-0.5114,0.9789,33.62,128.58
RoBERTa-base,HC3,humanizer_roberta,15,6,40.0,0.7826,0.5257,0.9946,-1.392,0.987,51.3,207.96
RoBERTa-base,M4,homoglyph,500,130,26.0,0.7498,0.8265,0.569,-0.6146,0.9999,120.69,468.09
RoBERTa-base,M4,diacritic,500,106,21.2,0.7901,0.9649,0.5655,-0.2171,0.9999,366.38,511.57
RoBERTa-base,M4,mixed,500,113,22.6,0.794,0.9652,0.5669,-0.3844,0.9999,284.56,542.1
RoBERTa-base,M4,humanizer_bert,15,2,13.33,0.7847,0.54,1.0,-0.3123,0.9605,50.62,215.96
RoBERTa-base,M4,humanizer_roberta,15,3,20.0,0.7927,0.5345,0.9996,-3.1982,0.9796,42.76,196.32
RoBERTa-base,QNLI,homoglyph,500,79,15.8,0.7959,0.9886,0.5656,-0.0913,0.9998,305.5,955.49
RoBERTa-base,QNLI,diacritic,500,52,10.4,0.7958,0.9984,0.5631,0.0208,0.9998,592.89,1001.09
RoBERTa-base,QNLI,mixed,500,63,12.6,0.7985,0.9987,0.5636,-0.083,0.9998,563.54,1021.95
RoBERTa-base,QNLI,humanizer_bert,15,2,13.33,0.794,0.7023,0.9271,0.6725,0.9138,137.69,397.93
RoBERTa-base,QNLI,humanizer_roberta,15,11,73.33,0.859,0.7209,0.985,-3.2782,0.9788,98.76,392.87
RoBERTa-base,RTE,homoglyph,277,43,15.52,0.7933,0.9978,0.5492,-0.0877,1.0,800.69,1556.85
RoBERTa-base,RTE,diacritic,277,36,13.0,0.7911,0.9998,0.5477,0.012,1.0,1214.23,1367.6
RoBERTa-base,RTE,mixed,277,35,12.64,0.7939,0.9997,0.5471,-0.1133,1.0,1202.66,1523.74
RoBERTa-base,RTE,humanizer_bert,15,3,20.0,0.872,0.8437,0.9924,-0.771,0.9167,242.13,778.71
RoBERTa-base,RTE,humanizer_roberta,15,10,66.67,0.8979,0.8693,0.984,-2.715,0.9347,234.43,824.16
RoBERTa-base,SST2,homoglyph,500,143,28.6,0.7742,0.9947,0.498,-0.087,1.0,487.2,1028.22
RoBERTa-base,SST2,diacritic,500,176,35.2,0.7732,0.9998,0.499,0.0664,1.0,802.56,979.23
RoBERTa-base,SST2,mixed,500,142,28.4,0.7758,0.9997,0.4998,-0.0442,1.0,801.7,1099.35
RoBERTa-base,SST2,humanizer_bert,15,6,40.0,0.8609,0.8184,0.9407,-0.0204,0.959,177.17,517.15
RoBERTa-base,SST2,humanizer_roberta,15,11,73.33,0.8755,0.7919,1.0,-0.4747,0.9239,125.44,458.03
