þe	1826
to	1376
of	1328
he	1291
ne	1180
is	887
for	781
and	768
n	714
his	713
in	643
c	571
on	527
him	521
m	517
er	474
hit	448
þat	446
i	440
me	440
al	411
ich	391
a	382
hire	372
ðe	371
b	361
mid	345
þu	341
bi	341
alle	338
we	320
hi	318
wið	303
heo	300
wel	299
þet	289
an	285
the	280
so	262
ha	261
þa	249
us	248
þo	226
e	224
þer	220
ure	211
was	205
god	196
as	192
oðer	192
te	189
ȝe	185
se	181
ðat	177
ant	176
þis	165
g	162
it	160
linenote	160
godes	157
linenotes	154
men	146
þan	144
þar	139
swa	136
nu	135
beo	132
wes	130
here	129
ah	129
king	128
þine	127
beoð	126
ben	125
p	124
no	123
her	122
hem	121
o	120
gode	119
u	117
na	116
ham	116
þi	116
mon	115
luue	111
man	110
ge	109
don	109
ac	108
ȝef	108
q	108
were	106
at	105
one	105
þing	105
þurh	104
beon	104
mei	103
blisse	102
