lambda,beta,gamma,evasion_rate,bert_f1
0.0,0.6,0.4,66.66666666666666,0.8999274373054504
0.1,0.54,0.36,100.0,0.8979737361272176
0.2,0.48,0.32,66.66666666666666,0.8745988011360168
0.3,0.42,0.28,66.66666666666666,0.8913994232813517
0.4,0.36,0.24,100.0,0.9064245025316874
0.5,0.3,0.2,100.0,0.8908137480417887
0.6,0.24,0.16,100.0,0.8736827373504639
0.7,0.18,0.12,66.66666666666666,0.8795813322067261
0.8,0.12,0.08,100.0,0.8958226442337036
0.9,0.06,0.04,33.33333333333333,0.8918777704238892
1.0,0.0,0.0,100.0,0.8905335664749146
